abbr,country,population,case_7day_perc_change,death_7day_perc_change,test_7day_perc_change,case_7day_change,death_7day_change,test_7day_change,current_r,cur_infected_perc,total_infected_perc,Confirmed,Deaths,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,c19pro_score_cases,c19pro_score_deaths
IDN,Indonesia,270625568,0.15610619469026535,0.15274151436031325,,566.9999999999995,16.714285714285708,,1.0516369506521317,0.002264372152745006,0.012169733349067742,262022,10105,,,,4199.142857142857,126.14285714285714,-1.2213566384256547,-1.2063201676372417
IRN,Iran,82913906,0.3119302417756639,0.19504950495049503,,787.0,28.14285714285714,,0.9661986456821964,0.013150484069584177,0.1621586974807338,436319,25015,,,,3310.0,172.42857142857142,-5.513038578361643,-5.680020987149495
IRL,Ireland,4904240,0.18520745640408887,0.0,,43.99999999999997,0.0,,0.9962718650841984,0.002721522600851508,0.0810041922907525,33994,1797,,,,281.57142857142856,1.1428571428571428,-0.44393519465892983,-0.0
ISR,Israel,8519377,0.23979145644130512,1.2717391304347827,,1018.4285714285716,16.714285714285715,,0.8659161521697855,0.024416574122732213,0.11688929836066651,212115,1378,,,,5265.571428571428,29.857142857142858,-30.94629307164118,-29.372213489724437
ITA,Italy,60359546,0.14758760792280354,0.7323943661971833,,207.57142857142867,7.428571428571431,,1.0132041252811905,0.003167005265414024,0.09535625069148135,304323,35781,,,,1614.0,17.571428571428573,-0.6029531639585479,-2.028545809825074
JPN,Japan,126860301,-0.15957446808510642,-0.3243243243243243,,-81.42857142857144,-3.428571428571428,,0.9319267999091175,0.0003702813222869462,0.0044906404565444,80490,1540,,,,428.85714285714283,7.142857142857143,0.0857940354545655,0.18263517728439022
KWT,Kuwait,4207083,-0.1949220311875249,-0.10526315789473695,,-139.28571428571422,-0.28571428571428603,,1.0215480182519243,0.007450768145054423,0.06683300519623692,101851,592,,,,575.2857142857143,2.4285714285714284,2.4112594434953416,0.05030909849836493
LVA,Latvia,1919968,1.173913043478261,-1.0,,7.714285714285715,-0.14285714285714285,,0.9608431986511917,0.000511466857780963,0.0055959265987766465,1594,36,,,,14.285714285714286,0.0,-0.12203650476470058,0.0
LTU,Lithuania,2794184,0.8557377049180329,1.0,,37.28571428571429,0.14285714285714285,,0.9888938834011344,0.0008102544427997584,0.009287863648206418,4070,89,,,,80.85714285714286,0.2857142857142857,-0.8329931217610026,-0.041917285020721694
LUX,Luxembourg,613894,0.36203090507726277,0.0,,23.42857142857143,0.0,,0.9996778925795394,0.0043004166843135785,0.056581429367284906,8158,124,,,,88.14285714285714,0.0,-1.912678397939114,-0.0
MYS,Malaysia,31949777,0.2358490566037737,inf,,14.285714285714292,0.7142857142857143,,0.8202780393808926,3.821622917743682e-05,0.002125085254898649,10576,133,,,,74.85714285714286,0.7142857142857143,-0.01999033188035091,-0.0022588922810238576
MLT,Malta,493559,-0.22506393861892582,4.5,,-12.57142857142857,1.2857142857142856,,1.0795992040635396,0.016273636991727434,0.06352432029402766,2898,27,,,,43.285714285714285,1.5714285714285714,0.9069381529787748,-10.117316006010885
MEX,Mexico,127575529,-0.012756307285268885,0.28853754940711457,,-57.85714285714312,104.28571428571428,,0.9600869154943853,0.011491623914802658,0.15183811622681964,715457,75439,,,,4477.714285714285,465.7142857142857,0.024156955749820477,-39.90555255920296
MDA,Moldova,4043263,0.21073498017688308,0.28125,,98.71428571428567,2.571428571428571,,0.9895853143920733,0.01892332999362149,0.16018374268505411,48953,1252,,,,567.1428571428571,11.714285714285714,-1.8325916660331318,-1.5633719347963253
MAR,Morocco,36471769,0.058220804777091614,0.08520179372197301,,122.57142857142844,2.7142857142857117,,1.0593479207443814,0.004283806469601186,0.01980918446812931,110099,1956,,,,2227.8571428571427,34.57142857142857,-0.280744066890368,-0.20111370202525383
NLD,Netherlands,17282163,0.5261565488971304,1.0399999999999998,,770.1428571428569,3.714285714285714,,1.0491904901728877,0.003807683100778531,0.08221760204437373,107899,6361,,,,2233.8571428571427,7.285714285714286,-17.49889148678103,-1.7891627534695222
NGA,Nigeria,200963599,0.22958057395143497,-0.5,,29.714285714285722,-1.2857142857142858,,0.94300858784623,8.762283362570552e-05,0.002052715029252636,57849,1102,,,,159.14285714285714,1.2857142857142858,-0.021224181192040194,0.03509280521925081
NOR,Norway,5378857,-0.01930501930501927,3.0,,-2.142857142857139,0.42857142857142855,,0.9735410686579884,0.0006795123945477636,0.013337220156624353,13406,270,,,,108.85714285714286,0.5714285714285714,0.006769794944596439,-0.30073393650819047
PAK,Pakistan,216565318,0.15292652552926536,-0.0526315789473684,,87.71428571428578,-0.2857142857142856,,0.9810893028478062,0.00037900343766031824,0.016297193994839008,309015,6444,,,,661.2857142857143,5.142857142857143,-0.08263340070956485,0.0017033264712484088
PAN,Panama,4246439,0.03730499660863664,-0.023255813953488434,,23.571428571428555,-0.2857142857142865,,0.9794476288853567,0.012887268603175508,0.12125077035134615,108726,2297,,,,655.4285714285714,12.0,-0.27337446189875775,0.0839798686601343
PER,Peru,32510453,-0.07997789736690383,0.0049079754601226815,,-475.57142857142935,0.5714285714285694,,0.8653608578190368,0.012396320654160064,0.23426339214651976,782695,31870,,,,5470.714285714285,117.0,2.337776853167606,-0.026127814702336858
PHL,Philippines,108116615,-0.25148123765635283,-0.5243393602225312,,-982.2857142857142,-53.857142857142854,,1.0052579394949481,0.002905779097875012,0.016576194140003365,296755,5127,,,,2923.714285714286,48.857142857142854,4.5575773079968585,13.05440294519665
POL,Poland,37972812,0.5148130160271975,0.23404255319148945,,302.8571428571428,3.142857142857144,,1.0627854891433082,0.004077390950135587,0.02579906381439436,82809,2369,,,,891.1428571428571,16.571428571428573,-2.716902156474534,-0.36530909432281183
PRT,Portugal,10276617,0.11475409836065574,0.19444444444444442,,70.0,1.0,,1.0304106097231982,0.00540946500195541,0.05656939438338512,71156,1931,,,,680.0,6.142857142857143,-0.41321318534830226,-0.1524278680004455
ROU,Romania,19414458,0.03975127692649342,0.1295546558704453,,51.14285714285711,4.571428571428569,,0.9942009275212489,0.015126355832338971,0.11662081939140408,118054,4591,,,,1337.7142857142858,39.857142857142854,-0.13257578227891134,-0.8014207906238435
RUS,Russia,145872256,0.11765319970769392,0.10392902408111541,,644.0,11.714285714285722,,1.0228943645409438,0.004636591073219571,0.03960661306287057,1123976,19867,,,,6117.714285714285,124.42857142857143,-1.7769543712228886,-0.8099481277250116
SAU,Saudi Arabia,34268528,-0.1607142857142857,-0.04761904761904757,,-101.57142857142856,-1.428571428571427,,0.9615380856512946,0.00382476305956299,0.0624675795820585,331857,4599,,,,530.4285714285714,28.571428571428573,0.25967806360820395,0.06769750891316673
SRB,Serbia,6963764,-0.1627906976744186,-0.2222222222222223,,-13.0,-0.2857142857142858,,0.9234429172970862,0.0016373329136369354,0.05590884469950446,33163,745,,,,66.85714285714286,1.0,0.04223326327581703,0.026765165528766007
SVK,Slovakia,5450421,0.6837696335078536,0.0,,93.2857142857143,0.0,,1.058564291541365,0.0005478475882872168,0.0036410031445277347,7629,41,,,,229.71428571428572,0.2857142857142857,-1.7972868133076076,-0.0
SVN,Slovenia,2080908,0.13303437967115106,8.000000000000002,,12.714285714285722,1.142857142857143,,1.0502033544513756,0.0024989091300528423,0.021276769564055692,4816,145,,,,108.28571428571429,1.2857142857142858,-0.19258178563078768,-5.1481544346024695
ZAF,South Africa,58558270,0.03080653853062691,0.007889546351084784,,49.0,0.5714285714285694,,0.8328292354680934,0.00677146029074971,0.21257755736294806,667049,16283,,,,1639.5714285714287,73.0,-0.042485090877415276,-0.010764086524177421
KOR,South Korea,51225308,-0.22222222222222224,-0.3333333333333333,,-27.42857142857143,-1.2857142857142856,,1.0394073410588682,0.0004366591607414054,0.003502916956594971,23455,395,,,,96.0,2.5714285714285716,0.031062400778186366,0.06868706019822843
ESP,Spain,46937060,0.09859036751132756,0.009915014164305949,,1007.1428571428587,1.0,,0.9894718128994082,0.028314960502426014,0.16132356819962734,704209,31118,,,,11222.57142857143,101.85714285714286,-6.389476883931364,-0.03107863817456575
SWE,Sweden,10230185,0.42164399763453575,-0.3333333333333333,,101.85714285714286,-1.0,,0.9331944344114343,0.0016706442747614046,0.12815584468902566,90289,5878,,,,343.42857142857144,2.0,-1.0489334952519767,0.12880233930938367
CHE,Switzerland,8591365,-0.1254863813229572,-0.1363636363636363,,-55.28571428571428,-0.4285714285714284,,1.06452633071859,0.003998549706594936,0.05852865056949623,51492,2061,,,,385.2857142857143,2.7142857142857144,0.30645064322243915,0.041144979438035925
TUR,Turkey,83429615,0.014416436464088416,0.11904761904761899,,23.85714285714289,7.142857142857139,,1.0588806808093945,0.003364692501577527,0.030506205740012105,309790,7785,,,,1678.7142857142858,67.14285714285714,-0.009668883313987926,-0.567393443905972
USA,US,331814684,0.08959760843085622,-0.11965229248338155,0.21464240269885668,3562.2857142857174,-100.28571428571422,159479.8571428574,0.9640341634648778,0.010157097206704692,0.15641451841233162,6977658,202798,902482.4285714285,0.04757829080012163,20.428571428571416,43321.0,737.8571428571429,-12.899636283126206,12.396269827064465
UKR,Ukraine,43993638,0.06435200452254196,-0.03367875647668401,,195.14285714285688,-1.8571428571428612,,1.035889879352216,0.010810244881316704,0.056490622575927914,192966,3838,,,,3227.5714285714284,53.285714285714285,-0.498092470186847,0.07791048787363115
ARE,United Arab Emirates,9770529,0.05426904719816161,0.2500000000000001,,43.85714285714289,0.1428571428571429,,1.046247595497265,0.0021952751995311616,0.020669914597254663,88532,407,,,,852.0,0.7142857142857143,-0.21949514406526685,-0.00919688549971595
GBR,United Kingdom,67530172,0.47823132141188457,1.0309278350515463,,1608.428571428571,14.285714285714285,,1.0380829899014077,0.004371764372227573,0.08231159251304736,418889,41991,,,,4971.714285714285,28.142857142857142,-23.284707095810955,-6.517011970917612
