date,Province_State,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_tests,net_hosp,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,prevalence_ratio_7day_ma,cur_implied_cfr_as_of_2020-08-10,total_implied_cfr_as_of_2020-08-10,cur_implied_ifr_as_of_2020-07-27,total_implied_ifr_as_of_2020-07-27,total_infections_as_of_2020-08-10,perc_infected_as_of_2020-08-10,population
2020-08-24,Oregon,25155,420,3.0,218.0,3517.0,-30.0,4588.571428571428,0.05305105853051058,-9.0,243.42857142857144,4.571428571428571,6.185250464189742,0.015080113100848254,0.019548522224808004,0.0023126035639076344,0.0033342025076472537,149263,0.03538925738528338,4217737
2020-08-24,New Mexico,24542,749,4.0,146.0,14138.0,-4.0,6961.0,0.020276232889363185,-6.428571428571429,148.85714285714286,4.428571428571429,4.778314205652278,0.023592085235920858,0.03337194795936553,0.004722112767330526,0.006082773437793132,133877,0.06384691966092919,2096829
2020-08-24,Rhode Island,21302,1035,5.0,280.0,3508.0,0.0,6095.0,0.01711004336106879,0.0,104.28571428571428,1.7142857142857142,4.59288583072121,0.01744186046511628,0.05192134042339721,0.0034803673241921166,0.007556486976382286,143285,0.13525586630787315,1059361
2020-08-24,Delaware,16942,604,4.0,47.0,1656.0,-6.0,1551.857142857143,0.037374574242842684,1.2857142857142858,58.0,1.5714285714285714,5.593200770426601,0.018998272884283247,0.03863374696175003,0.0032337623817911784,0.00481075584222553,134199,0.137814616941787,973764
2020-08-24,District of Columbia,13639,604,0.0,105.0,3355.0,5.0,3392.285714285714,0.015413122210056432,0.42857142857142855,52.28571428571429,1.0,4.486393537488088,0.01417004048582996,0.0471617084406965,0.0028794938232537676,0.005840274571502388,107481,0.1522924636473198,705749
2020-08-24,South Dakota,11425,161,0.0,149.0,703.0,3.0,1167.142857142857,0.1303549571603427,0.7142857142857143,152.14285714285714,1.1428571428571428,8.276752464235223,0.01244167962674961,0.016661492290179034,0.0016791276713830118,0.002274187772405429,82563,0.0933269803426154,884659
2020-08-24,North Dakota,10000,137,1.0,124.0,1133.0,-1.0,1657.0,0.116647986895422,-0.5714285714285714,193.28571428571428,1.5714285714285714,7.9646028808348035,0.011853448275862068,0.017762219629197457,0.0016627576812222832,0.003073962458735897,60523,0.0794192172053266,762062
2020-08-24,West Virginia,9315,179,0.0,42.0,2461.0,2.0,5402.142857142857,0.01798228216316277,1.0,96.28571428571428,2.7142857142857144,4.645568510621292,0.02439024390243903,0.02307593141678484,0.004878362864948004,0.004652667268257668,46554,0.02597621799084237,1792147
2020-08-24,New Hampshire,7140,429,0.0,33.0,2165.0,-1.0,1751.142857142857,0.010605318975363029,-0.5714285714285714,19.428571428571427,0.8571428571428571,4.1477140703692905,0.03333333333333333,0.06273764258555133,0.007204005501159322,0.010074343543652463,43896,0.03228281176493326,1359711
2020-08-24,Hawaii,6769,49,2.0,169.0,2640.0,0.0,2410.857142857143,0.09232045508414316,7.0,222.0,1.2857142857142858,7.361485009905992,0.0075630252100840345,0.013468938977460142,0.001056527880640092,0.002854502753921592,38608,0.02726761922361139,1415872
2020-08-24,Montana,6489,91,1.0,60.0,22924.0,3.0,4135.428571428572,0.024077656487494815,2.8571428571428568,99.57142857142857,1.2857142857142858,4.982716266672185,0.011479591836734694,0.01813832967909109,0.0018220716723696792,0.003516221727961371,35658,0.033362697070719316,1068778
2020-08-24,Alaska,4810,32,0.0,69.0,3063.0,-5.0,3550.714285714286,0.02084087708710521,1.4285714285714286,71.57142857142857,0.5714285714285714,4.809819156189276,0.009237875288683604,0.008479067302596715,0.0021108277439725993,0.00189002282985641,21941,0.02999237996509193,731545
2020-08-24,Maine,4357,131,0.0,21.0,3155.0,2.0,3186.0,0.007129405434490181,-0.5714285714285714,22.857142857142854,0.5714285714285714,3.850972905438701,0.049382716049382706,0.03233769439644532,0.013723298218812126,0.004958552010486591,27457,0.02042544424927909,1344212
2020-08-24,Wyoming,3603,37,0.0,25.0,1130.0,1.0,732.0,0.05308352849336456,1.0,38.857142857142854,1.0,6.186378072621054,0.03608247422680412,0.012163050624589087,0.005377381511007274,0.002065974466779951,21362,0.03690904969819703,578759
2020-08-24,Vermont,1566,58,0.0,9.0,1347.0,-2.0,1166.7142857142858,0.004775315293253336,-1.0,5.571428571428571,0.0,3.605658498394895,0.0,0.03967168262653899,0.0,0.00718914162770149,8434,0.01351527849363048,623989
2020-08-24,Virgin Islands,984,11,1.0,52.0,124.0,0.0,289.14285714285717,0.11067193675889328,0.0,32.0,0.2857142857142857,7.822782713043684,0.01851851851851852,0.02010968921389397,0.002707468406188642,0.00344264272227253,6304,0.060085813287570136,104914
2020-08-24,Guam,907,7,1.0,140.0,880.0,1.0,671.1428571428571,0.07428693060876969,0.5714285714285714,47.14285714285714,0.2857142857142857,6.860900622101476,0.046511627906976744,0.01674641148325359,0.009768507528034048,0.003425991549647595,4011,0.02420130394102182,165718
2020-08-24,Northern Mariana Islands,54,2,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,18.5,0.0,0.04081632653061224,0.0,0.006821026100299815,354,0.006408322237308878,55194
2020-08-24,American Samoa,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,20.0,,,,,0,0.0,55641
